Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5511","Production","F2734","Viande de Volailles","2016","2016","Milliers de tonnes","1106","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5511","Production","F2734","Viande de Volailles","2017","2017","Milliers de tonnes","1099","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5511","Production","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","1074","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5511","Production","F2734","Viande de Volailles","2019","2019","Milliers de tonnes","1048","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5611","Importations - Quantité","F2734","Viande de Volailles","2016","2016","Milliers de tonnes","506","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5611","Importations - Quantité","F2734","Viande de Volailles","2017","2017","Milliers de tonnes","608","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5611","Importations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","585","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5611","Importations - Quantité","F2734","Viande de Volailles","2019","2019","Milliers de tonnes","602","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5072","Variation de stock","F2734","Viande de Volailles","2016","2016","Milliers de tonnes","-85","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5072","Variation de stock","F2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5072","Variation de stock","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","3","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5072","Variation de stock","F2734","Viande de Volailles","2019","2019","Milliers de tonnes","-3","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5911","Exportations - Quantité","F2734","Viande de Volailles","2016","2016","Milliers de tonnes","1240","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5911","Exportations - Quantité","F2734","Viande de Volailles","2017","2017","Milliers de tonnes","1418","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5911","Exportations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","1423","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5911","Exportations - Quantité","F2734","Viande de Volailles","2019","2019","Milliers de tonnes","1493","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5301","Disponibilité intérieure","F2734","Viande de Volailles","2016","2016","Milliers de tonnes","457","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5301","Disponibilité intérieure","F2734","Viande de Volailles","2017","2017","Milliers de tonnes","289","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5301","Disponibilité intérieure","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","234","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5301","Disponibilité intérieure","F2734","Viande de Volailles","2019","2019","Milliers de tonnes","160","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5123","Pertes","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5123","Pertes","F2734","Viande de Volailles","2019","2019","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5142","Nourriture","F2734","Viande de Volailles","2016","2016","Milliers de tonnes","362","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5142","Nourriture","F2734","Viande de Volailles","2017","2017","Milliers de tonnes","273","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5142","Nourriture","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","174","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5142","Nourriture","F2734","Viande de Volailles","2019","2019","Milliers de tonnes","91","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","645","Disponibilité alimentaire en quantité (kg/personne/an)","F2734","Viande de Volailles","2016","2016","kg","21.34","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","645","Disponibilité alimentaire en quantité (kg/personne/an)","F2734","Viande de Volailles","2017","2017","kg","16.05","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","645","Disponibilité alimentaire en quantité (kg/personne/an)","F2734","Viande de Volailles","2018","2018","kg","10.19","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","645","Disponibilité alimentaire en quantité (kg/personne/an)","F2734","Viande de Volailles","2019","2019","kg","5.33","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","674","Disponibilité de protéines en quantité (g/personne/jour)","F2734","Viande de Volailles","2016","2016","g/personne/jour","9","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","674","Disponibilité de protéines en quantité (g/personne/jour)","F2734","Viande de Volailles","2017","2017","g/personne/jour","6.74","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","674","Disponibilité de protéines en quantité (g/personne/jour)","F2734","Viande de Volailles","2018","2018","g/personne/jour","4.31","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","674","Disponibilité de protéines en quantité (g/personne/jour)","F2734","Viande de Volailles","2019","2019","g/personne/jour","2.27","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","671","Disponibilité de protéines en quantité (g)","F2734","Viande de Volailles","2016","2016","g","55803","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","671","Disponibilité de protéines en quantité (g)","F2734","Viande de Volailles","2017","2017","g","41844","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","671","Disponibilité de protéines en quantité (g)","F2734","Viande de Volailles","2018","2018","g","26862","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","671","Disponibilité de protéines en quantité (g)","F2734","Viande de Volailles","2019","2019","g","14185.72","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5511","Production","F2734","Viande de Volailles","2016","2016","Milliers de tonnes","24","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5511","Production","F2734","Viande de Volailles","2017","2017","Milliers de tonnes","28","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5511","Production","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","29","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5511","Production","F2734","Viande de Volailles","2019","2019","Milliers de tonnes","28","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5611","Importations - Quantité","F2734","Viande de Volailles","2016","2016","Milliers de tonnes","37","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5611","Importations - Quantité","F2734","Viande de Volailles","2017","2017","Milliers de tonnes","29","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5611","Importations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","25","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5611","Importations - Quantité","F2734","Viande de Volailles","2019","2019","Milliers de tonnes","44","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5072","Variation de stock","F2734","Viande de Volailles","2016","2016","Milliers de tonnes","-8","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5072","Variation de stock","F2734","Viande de Volailles","2017","2017","Milliers de tonnes","-7","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5072","Variation de stock","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5072","Variation de stock","F2734","Viande de Volailles","2019","2019","Milliers de tonnes","3","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5911","Exportations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5301","Disponibilité intérieure","F2734","Viande de Volailles","2016","2016","Milliers de tonnes","69","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5301","Disponibilité intérieure","F2734","Viande de Volailles","2017","2017","Milliers de tonnes","64","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5301","Disponibilité intérieure","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","53","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5301","Disponibilité intérieure","F2734","Viande de Volailles","2019","2019","Milliers de tonnes","69","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5142","Nourriture","F2734","Viande de Volailles","2016","2016","Milliers de tonnes","69","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5142","Nourriture","F2734","Viande de Volailles","2017","2017","Milliers de tonnes","64","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5142","Nourriture","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","53","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5142","Nourriture","F2734","Viande de Volailles","2019","2019","Milliers de tonnes","69","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","F2734","Viande de Volailles","2016","2016","kg","1.96","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","F2734","Viande de Volailles","2017","2017","kg","1.76","E","Valeur estimée"
