Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","004","Afghanistan","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","34636.207","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","512","Hommes","3010","Population-Estimations","2016","2016","1000 personnes","17520.861","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","513","Femmes","3010","Population-Estimations","2016","2016","1000 personnes","17115.346","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","551","Population rurale","3010","Population-Estimations","2016","2016","1000 personnes","25985.093","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","561","Population urbaine","3010","Population-Estimations","2016","2016","1000 personnes","8670.939","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","35643.418","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","512","Hommes","3010","Population-Estimations","2017","2017","1000 personnes","18028.696","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","513","Femmes","3010","Population-Estimations","2017","2017","1000 personnes","17614.722","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","551","Population rurale","3010","Population-Estimations","2017","2017","1000 personnes","26558.609","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","561","Population urbaine","3010","Population-Estimations","2017","2017","1000 personnes","8971.472","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","36686.784","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","512","Hommes","3010","Population-Estimations","2018","2018","1000 personnes","18549.862","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","513","Femmes","3010","Population-Estimations","2018","2018","1000 personnes","18136.922","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","551","Population rurale","3010","Population-Estimations","2018","2018","1000 personnes","27099.874","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","561","Population urbaine","3010","Population-Estimations","2018","2018","1000 personnes","9273.302","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","37769.499","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","512","Hommes","3010","Population-Estimations","2019","2019","1000 personnes","19090.409","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","513","Femmes","3010","Population-Estimations","2019","2019","1000 personnes","18679.089","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","551","Population rurale","3010","Population-Estimations","2019","2019","1000 personnes","27626.382","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","561","Population urbaine","3010","Population-Estimations","2019","2019","1000 personnes","9582.625","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","56422.274","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","512","Hommes","3010","Population-Estimations","2016","2016","1000 personnes","27418.165","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","513","Femmes","3010","Population-Estimations","2016","2016","1000 personnes","29004.108","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","551","Population rurale","3010","Population-Estimations","2016","2016","1000 personnes","19414.491","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","561","Population urbaine","3010","Population-Estimations","2016","2016","1000 personnes","36600.982","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","56641.209","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","512","Hommes","3010","Population-Estimations","2017","2017","1000 personnes","27465.269","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","513","Femmes","3010","Population-Estimations","2017","2017","1000 personnes","29175.94","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","551","Population rurale","3010","Population-Estimations","2017","2017","1000 personnes","19369.002","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","561","Population urbaine","3010","Population-Estimations","2017","2017","1000 personnes","37348.154","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","57339.635","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","512","Hommes","3010","Population-Estimations","2018","2018","1000 personnes","27822.349","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","513","Femmes","3010","Population-Estimations","2018","2018","1000 personnes","29517.286","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","551","Population rurale","3010","Population-Estimations","2018","2018","1000 personnes","19311.652","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","561","Population urbaine","3010","Population-Estimations","2018","2018","1000 personnes","38086.769","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","58087.055","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","512","Hommes","3010","Population-Estimations","2019","2019","1000 personnes","28207.948","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","513","Femmes","3010","Population-Estimations","2019","2019","1000 personnes","29879.107","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","551","Population rurale","3010","Population-Estimations","2019","2019","1000 personnes","19244.858","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","561","Population urbaine","3010","Population-Estimations","2019","2019","1000 personnes","38820.239","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","2881.063","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","512","Hommes","3010","Population-Estimations","2016","2016","1000 personnes","1444.664","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","513","Femmes","3010","Population-Estimations","2016","2016","1000 personnes","1436.399","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","551","Population rurale","3010","Population-Estimations","2016","2016","1000 personnes","1216.737","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","561","Population urbaine","3010","Population-Estimations","2016","2016","1000 personnes","1709.611","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","2879.355","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","512","Hommes","3010","Population-Estimations","2017","2017","1000 personnes","1443.175","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","513","Femmes","3010","Population-Estimations","2017","2017","1000 personnes","1436.18","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","551","Population rurale","3010","Population-Estimations","2017","2017","1000 personnes","1190.155","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","561","Population urbaine","3010","Population-Estimations","2017","2017","1000 personnes","1740.032","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","2877.013","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","512","Hommes","3010","Population-Estimations","2018","2018","1000 personnes","1441.209","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","513","Femmes","3010","Population-Estimations","2018","2018","1000 personnes","1435.804","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","551","Population rurale","3010","Population-Estimations","2018","2018","1000 personnes","1164.388","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","561","Population urbaine","3010","Population-Estimations","2018","2018","1000 personnes","1769.975","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","2873.883","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","512","Hommes","3010","Population-Estimations","2019","2019","1000 personnes","1438.686","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","513","Femmes","3010","Population-Estimations","2019","2019","1000 personnes","1435.198","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","551","Population rurale","3010","Population-Estimations","2019","2019","1000 personnes","1139.266","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","561","Population urbaine","3010","Population-Estimations","2019","2019","1000 personnes","1799.162","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","40339.329","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","512","Hommes","3010","Population-Estimations","2016","2016","1000 personnes","20556.314","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","513","Femmes","3010","Population-Estimations","2016","2016","1000 personnes","19783.015","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","551","Population rurale","3010","Population-Estimations","2016","2016","1000 personnes","11589.537","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","561","Population urbaine","3010","Population-Estimations","2016","2016","1000 personnes","29016.515","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","41136.546","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","512","Hommes","3010","Population-Estimations","2017","2017","1000 personnes","20961.313","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","513","Femmes","3010","Population-Estimations","2017","2017","1000 personnes","20175.233","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","551","Population rurale","3010","Population-Estimations","2017","2017","1000 personnes","11547.532","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","561","Population urbaine","3010","Population-Estimations","2017","2017","1000 personnes","29770.61","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","41927.007","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","512","Hommes","3010","Population-Estimations","2018","2018","1000 personnes","21362.603","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","513","Femmes","3010","Population-Estimations","2018","2018","1000 personnes","20564.404","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","551","Population rurale","3010","Population-Estimations","2018","2018","1000 personnes","11498.038","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","561","Population urbaine","3010","Population-Estimations","2018","2018","1000 personnes","30510.016","X","Ciffre de sources internationales",""
