Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","528","Pays-Bas (Royaume des)","6110","Valeur US $","22008","Produit Intérieur Brut","2016","2016","Millions d’USD","783528.1817","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","528","Pays-Bas (Royaume des)","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2016","2016","US$","45754.793012","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","528","Pays-Bas (Royaume des)","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2016","2016","%","2.386524","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","528","Pays-Bas (Royaume des)","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2016","2016","%","1.887892","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","528","Pays-Bas (Royaume des)","6182","Croissance annuelle US $, aux prix de 2015","22008","Produit Intérieur Brut","2016","2016","%","2.191714","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","528","Pays-Bas (Royaume des)","61820","Croissance annuelle US $ par habitant, aux prix de 2015","22008","Produit Intérieur Brut","2016","2016","%","1.69403","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","528","Pays-Bas (Royaume des)","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","833869.6417","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","528","Pays-Bas (Royaume des)","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","48460.512961","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","528","Pays-Bas (Royaume des)","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","6.424971","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","528","Pays-Bas (Royaume des)","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","5.913522","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","528","Pays-Bas (Royaume des)","6182","Croissance annuelle US $, aux prix de 2015","22008","Produit Intérieur Brut","2017","2017","%","2.910903","X","Ciffre de sources internationales",""
